PARTICLE_SIMULATION_DATA_2D
Width: 1000
Height: 1000
NumBalls: 100
95 577.515 695.688
96 646.575 644.029
97 520.116 745.002
98 692.449 489.118
99 760.286 260.873
Step 2 0.1
0 361.699 682.327
1 345.595 439.904
2 136.352 262.332
3 269.074 495.789
4 344.28 136.154
5 506.844 728.918
6 22.6545 774.775
7 275.3 732.657
8 444.678 262.35
9 419.299 740.098
10 178.149 419.479
11 176.247 585.944
12 88.8264 638.669
13 271.518 199.137
14 224.768 595.826
15 106.842 388.313
16 327.658 640.242
17 231.277 18.1535
18 172.571 216.47
19 303.194 415.817
20 118.191 360.007
21 168.42 455.454
22 100.237 569.925
23 220.531 422.961
24 96.2274 590.615
25 95.4262 433.489
26 185.903 550.068
27 453.267 674.285
28 197.71 111.206
29 368.698 599.556
30 287.952 266.16
31 232.258 358.872
32 340.525 24.6685
33 167.966 159.384
34 469.106 599.477
35 325.823 360.971
36 353.394 318.659
37 361.198 94.0959
38 371.817 405.865
39 401.532 186.482
40 147.835 71.6428
41 76.58 609.232
42 487.273 450.434
43 433.071 374.483
44 475.21 249
45 85.1909 491.942
46 274.397 46.0608
47 378.359 712.834
48 156.182 764.468
49 499.771 476.165
50 860.78 541.593
51 640.625 43.2252
52 882.068 355.1
53 530.285 670.302
54 920.437 591.672
55 775.287 445.281
56 823.61 367.034
57 735.749 387.984
58 556.643 577.31
59 913.444 533.88
60 739.617 592.414
61 920.435 443.879
62 974.348 391.111
63 617.992 162.825
64 677.846 380.68
65 715.775 246.115
66 808.9 618.171
67 946.515 201.127
68 639.205 23.0654
69 869.785 432.524
70 688.132 645.668
71 858.91 598.938
72 741.562 86.7641
73 886.932 763.02
74 868.657 292.049
75 677.728 177.424
76 907.004 408.472
77 923.449 758.307
78 990 339.13
79 568.135 506.596
80 770.489 503.169
81 943.375 452.294
82 516.106 336.225
83 565.661 746.37
84 611.22 466.142
85 572.698 60.3418
86 685.051 770.065
87 890.473 691.028
88 911.154 220.781
89 990 60.9642
90 733.874 455.605
91 842.351 179.045
92 576.03 105.486
93 897.407 303.046
94 821.876 80.3998
95 587.022 698.789
96 645.979 654.011
97 527.142 737.886
98 692.437 499.118
99 758.181 269.347
Step 3 0.1
0 352.292 685.719
1 347.854 449.646
2 127.291 266.562
3 268.825 485.792
4 353.508 132.302
5 513.231 733.21
6 13.7508 779.328
7 269.699 724.372
8 437.698 272.968
9 432.807 741.996
10 181.588 428.869
11 167.134 581.825
12 92.4823 629.361
13 278.263 206.52
14 231.794 588.711
15 106.692 395.586
16 328.585 650.199
17 231.764 11.8347
18 169.339 225.933
19 312.951 413.625
20 117.132 347.926
21 167.287 466.433
22 96.4817 566.446
23 227.498 428.405
24 88.5521 597.148
25 89.2479 441.353
26 192.457 542.515
27 458.839 665.981
28 196.231 101.316
29 361.522 606.52
30 286.171 256.32
31 241.351 354.712
32 331.468 28.9091
33 166.177 149.545
34 473.193 590.35
35 329.18 351.551
36 345.641 312.343
37 370.228 89.7984
38 379.624 399.616
39 398.423 176.977
40 155.616 77.9251
41 64.5249 607.885
42 494.242 443.002
43 425.204 368.31
44 473.066 254.826
45 77.7919 498.669
46 268.44 54.0931
47 377.916 709.126
48 151.458 755.654
49 506.951 469.484
50 864.601 550.834
51 630.646 42.5807
52 891.985 353.819
53 524.937 678.752
54 929.796 588.149
55 769.821 453.655
56 820.316 357.592
57 727.284 382.66
58 548.183 582.642
59 921.008 527.339
60 738.425 582.485
61 916.068 447.575
62 974.316 381.111
63 616.203 152.986
64 687.436 377.846
65 705.713 250.862
66 818.734 616.357
67 955.762 197.321
68 648.393 19.1175
69 859.077 431.348
70 686.152 655.47
71 850.739 604.703
72 751.136 89.6502
73 885.986 772.975
74 861.016 285.19
75 668.24 174.265
76 910.331 408.816
77 920.561 748.733
78 982.478 332.54
79 574.758 499.104
80 766.64 512.398
81 952.297 464.961
82 512.757 326.802
83 572.018 754.089
84 604.817 458.461
85 581.077 65.7998
86 692.486 776.753
87 883.187 684.179
88 917.648 213.176
89 982.845 67.95
90 743.368 452.465
91 852.028 181.566
92 566.471 102.551
93 904.811 309.351
94 826.734 71.6592
95 596.529 701.89
96 645.383 663.993
97 536.559 731.269
98 692.425 509.118
99 756.075 277.821
Step 4 0.1
0 342.885 689.112
1 350.112 459.387
2 118.23 270.793
3 268.577 475.795
4 362.736 128.449
5 517.952 737.156
6 15.1529 783.88
7 264.097 716.088
8 430.717 283.585
9 446.314 743.894
10 185.028 438.259
11 158.022 577.706
12 96.1382 620.053
13 285.008 213.902
14 238.82 581.595
15 106.543 402.859
16 329.513 660.156
17 232.251 21.8228
18 166.107 235.396
19 322.707 411.433
20 116.073 335.844
21 166.155 477.412
22 92.9385 561.914
23 234.465 433.849
24 80.6645 604.734
25 83.0696 449.216
26 199.012 534.963
27 464.411 657.677
28 194.752 91.426
29 354.345 613.484
30 284.39 246.48
31 250.445 350.551
32 322.412 33.1496
33 164.389 139.707
34 477.279 581.223
35 332.537 342.132
36 337.888 306.027
37 379.257 85.5009
38 387.431 393.367
39 395.315 167.473
40 163.396 84.2074
41 52.4698 606.539
42 501.211 435.57
43 417.337 362.138
44 470.922 260.651
45 70.3929 505.396
46 262.484 62.1253
47 377.473 705.419
48 146.735 746.84
49 514.132 462.803
50 868.421 560.076
51 620.667 41.9361
52 901.903 352.539
53 519.589 687.202
54 939.154 584.625
55 768.753 463.721
56 817.023 348.15
57 718.819 377.336
58 539.723 587.974
59 928.572 520.798
60 737.234 572.556
61 911.701 451.271
62 974.284 371.112
63 614.414 143.147
64 697.027 375.013
65 695.652 255.608
66 823.408 616.222
67 965.01 193.516
68 657.581 15.1697
69 848.37 430.172
70 684.173 665.272
71 847.728 608.788
72 760.711 92.5363
73 885.04 782.93
74 853.375 278.331
75 658.753 171.106
76 913.658 409.159
77 917.673 739.159
78 974.956 325.951
79 581.381 491.611
80 762.79 521.627
81 961.219 477.628
82 509.408 317.379
83 578.376 761.808
84 598.413 450.78
85 589.456 71.2578
86 699.921 783.441
87 875.901 677.33
88 924.142 205.572
89 975.689 74.9358
90 748.464 447.633
91 861.705 184.088
92 556.911 99.6152
93 912.215 315.655
94 831.593 62.9187
95 606.036 704.99
96 644.788 673.976
97 547.642 724.998
98 692.413 519.118
99 753.97 286.295
Step 5 0.1
0 333.478 692.504
1 352.37 469.129
2 109.169 275.024
3 268.328 465.798
4 371.964 124.596
5 522.674 741.102
6 24.0565 788.432
7 258.496 707.804
8 423.736 294.202
9 459.822 745.793
10 188.467 447.649
11 148.909 573.588
12 99.7941 610.746
13 292.635 219.134
14 245.846 574.479
15 106.393 410.131
16 330.44 670.113
17 232.738 31.8109
18 162.875 244.86
19 332.464 409.241
20 115.015 323.763
21 165.022 488.391
22 89.3953 557.381
23 241.432 439.293
24 72.7769 612.321
25 76.8913 457.079
26 205.566 527.41
27 469.983 649.373
28 193.273 81.536
29 347.169 620.448
30 281.727 238.791
31 259.538 346.39
32 313.356 37.3902
33 162.6 129.868
34 481.366 572.096
35 335.894 332.712
36 330.135 299.711
37 388.287 81.2033
38 395.238 387.118
39 392.206 157.968
40 171.176 90.4897
41 40.4147 605.193
42 508.18 428.138
43 409.469 355.965
44 468.778 266.477
45 62.9938 512.123
46 256.527 70.1576
47 377.03 701.711
48 142.011 738.026
49 521.313 456.121
50 872.241 569.317
51 610.688 41.2916
52 911.821 351.258
53 514.24 695.651
54 948.513 581.102
55 772.46 475.624
56 813.729 338.708
57 726.567 373.691
58 531.263 593.305
59 936.136 514.257
60 736.043 562.627
61 907.334 454.966
62 974.252 361.112
63 612.626 133.309
64 690.404 370.5
65 685.591 260.355
66 814.731 620.431
67 974.257 189.71
68 666.768 11.2218
69 837.662 428.997
70 682.193 675.074
71 858.068 608.53
72 770.285 95.4224
73 884.094 790
74 845.733 271.473
75 649.265 167.947
76 916.985 409.502
77 914.785 729.585
78 967.434 319.361
79 588.004 484.119
80 758.94 530.857
81 970.141 490.294
82 506.06 307.957
83 584.733 769.527
84 592.01 443.099
85 597.835 76.7157
86 707.355 790
87 868.614 670.481
88 930.637 197.968
89 968.534 81.9217
90 748.785 440.964
91 871.382 186.609
92 547.352 96.6799
93 919.619 321.96
94 836.451 54.1781
95 615.543 708.091
96 644.192 683.958
