SCALAR_FUNCTION_CARTESIAN_2D
example3_wpf_surface1
x1: -10
x2: 10
NumPointsX: 20
y1: -10
_secDerY: 10
NumPointsY: 20
-10 -10 48
-10 -8.94737 33.6399
-10 -7.89474 20.8753
-10 -6.84211 9.70637
-10 -5.78947 0.132964
-10 -4.73684 -7.84488
-10 -3.68421 -14.2271
-10 -2.63158 -19.0139
-10 -1.57895 -22.205
-10 -0.526316 -23.8006
-10 0.526316 -23.8006
-10 1.57895 -22.205
-10 2.63158 -19.0139
-10 3.68421 -14.2271
-10 4.73684 -7.84488
-10 5.78947 0.132964
-10 6.84211 9.70637
-10 7.89474 20.8753
-10 8.94737 33.6399
-10 10 48
-8.94737 -10 47.2302
-8.94737 -8.94737 34.3817
-8.94737 -7.89474 22.9608
-8.94737 -6.84211 12.9675
-8.94737 -5.78947 4.40181
-8.94737 -4.73684 -2.73626
-8.94737 -3.68421 -8.44671
-8.94737 -2.63158 -12.7296
-8.94737 -1.57895 -15.5848
-8.94737 -0.526316 -17.0124
-8.94737 0.526316 -17.0124
-8.94737 1.57895 -15.5848
-8.94737 2.63158 -12.7296
-8.94737 3.68421 -8.44671
-8.94737 4.73684 -2.73626
-8.94737 5.78947 4.40181
-8.94737 6.84211 12.9675
-8.94737 7.89474 22.9608
-8.94737 8.94737 34.3817
-8.94737 10 47.2302
-7.89474 -10 45.0328
-7.89474 -8.94737 33.6959
-7.89474 -7.89474 23.6186
-7.89474 -6.84211 14.801
-7.89474 -5.78947 7.24304
-7.89474 -4.73684 0.944744
-7.89474 -3.68421 -4.09389
-7.89474 -2.63158 -7.87287
-7.89474 -1.57895 -10.3922
-7.89474 -0.526316 -11.6518
-7.89474 0.526316 -11.6518
-7.89474 1.57895 -10.3922
-7.89474 2.63158 -7.87287
-7.89474 3.68421 -4.09389
-7.89474 4.73684 0.944744
-7.89474 5.78947 7.24304
-7.89474 6.84211 14.801
-7.89474 7.89474 23.6186
-7.89474 8.94737 33.6959
-7.89474 10 45.0328
-6.84211 -10 41.5757
-6.84211 -8.94737 31.7504
-6.84211 -7.89474 23.0168
-6.84211 -6.84211 15.3748
-6.84211 -5.78947 8.82461
-6.84211 -4.73684 3.36609
-6.84211 -3.68421 -1.00073
-6.84211 -2.63158 -4.27584
-6.84211 -1.57895 -6.45925
-6.84211 -0.526316 -7.55095
-6.84211 0.526316 -7.55095
-6.84211 1.57895 -6.45925
-6.84211 2.63158 -4.27584
-6.84211 3.68421 -1.00073
-6.84211 4.73684 3.36609
-6.84211 5.78947 8.82461
-6.84211 6.84211 15.3748
-6.84211 7.89474 23.0168
-6.84211 8.94737 31.7504
-6.84211 10 41.5757
-5.78947 -10 37.027
-5.78947 -8.94737 28.7132
-5.78947 -7.89474 21.3232
-5.78947 -6.84211 14.857
-5.78947 -5.78947 9.31448
-5.78947 -4.73684 4.69573
-5.78947 -3.68421 1.00073
-5.78947 -2.63158 -1.77052
-5.78947 -1.57895 -3.61802
-5.78947 -0.526316 -4.54177
-5.78947 0.526316 -4.54177
-5.78947 1.57895 -3.61802
-5.78947 2.63158 -1.77052
-5.78947 3.68421 1.00073
-5.78947 4.73684 4.69573
-5.78947 5.78947 9.31448
-5.78947 6.84211 14.857
-5.78947 7.89474 21.3232
-5.78947 8.94737 28.7132
-5.78947 10 37.027
-4.73684 -10 31.5545
-4.73684 -8.94737 24.7523
-4.73684 -7.89474 18.7059
-4.73684 -6.84211 13.4154
-4.73684 -5.78947 8.88059
-4.73684 -4.73684 5.10162
-4.73684 -3.68421 2.07844
-4.73684 -2.63158 -0.188949
-4.73684 -1.57895 -1.70054
-4.73684 -0.526316 -2.45633
-4.73684 0.526316 -2.45633
-4.73684 1.57895 -1.70054
-4.73684 2.63158 -0.188949
