time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.0002401666458577978,-1380.0968214177908,-752.6434747661093,319.47857097142855,99.0,False,8
0.146,13.014999999999999,-1369.4662737490023,-623.2348812068228,320.0,99.0,False,8
0.179,15.96784109563847,-1367.0,-594.0,320.4124992,99.13749973333333,False,8
0.386,34.54833333333333,-1351.0072248862807,-410.5843480001173,323.0,100.0,False,8
0.499,44.68254247777146,-1342.0,-309.0,323.0,100.0,False,8
0.545,48.814166666666665,-1338.2915319446115,-267.15469587407404,323.0,100.0,False,8
0.599,53.67309146161876,-1334.0,-219.0,323.2999992888889,100.0,False,8
0.905,81.31416666666667,-1309.6312275538548,48.44995369329459,325.0,100.0,False,8
0.92,82.66795532600926,-1308.0,67.0,325.0,99.9375008,False,8
1.14,102.52784014132351,-1280.0,391.0,325.0,99.02083306666667,False,8
1.145,102.98083333333332,-1279.4135242601894,397.75788066591343,325.0,99.0,False,8
1.425,128.49194444444444,-1254.4970710757132,679.4520358658203,328.0,100.0,False,8
1.54,139.02442635396883,-1248.0,754.0,328.8214290285714,99.58928548571429,False,8
1.705,154.1586111111111,-1241.9588713524022,828.1303513453075,330.0,99.0,False,8
1.84,166.53177195818964,-1236.0,900.0,330.0,99.0,False,8
2.105,190.82527777777776,-1214.8773749134555,1140.6949961909097,330.0,99.0,False,8
2.14,194.0391079619157,-1212.0,1174.0,330.1458336,99.1458336,False,8
2.32,210.58977019136103,-1198.0,1339.0,330.8958325333333,99.89583253333333,False,8
2.345,212.89194444444445,-1196.0276459971892,1362.113432636846,331.0,100.0,False,8
2.46,223.49339238063382,-1187.0,1467.0,331.7187504,99.2812496,False,8
2.505,227.64749999999998,-1183.7405848876824,1504.566903047597,332.0,99.0,False,8
2.705,246.1475,-1169.159242418616,1671.986363477698,333.0,99.0,False,8
2.76,251.24226831486195,-1163.0,1744.0,333.13749952,99.0,False,8
2.94,267.9346955444829,-1138.0,2039.0,333.58750016,99.0,False,8
3.105,283.2586111111111,-1127.3794366201869,2164.701984394093,334.0,99.0,False,8
3.32,303.25671625832035,-1119.0,2261.0,334.6718744,99.0,False,8
3.425,313.0363888888889,-1108.270265497039,2383.5981379828186,335.0,99.0,False,8
3.56,325.623207147019,-1093.0,2559.0,335.3749994666667,99.37499946666667,False,8
3.785,346.6363888888889,-1079.0779900935606,2725.076089581301,336.0,100.0,False,8
3.92,359.2675891004361,-1071.0,2819.0,336.3749994666667,99.62500053333333,False,8
4.1,376.12402667478347,-1056.0,2987.0,336.8750001777778,99.12499982222222,False,8
4.145,380.33638888888885,-1052.2376737044442,3029.969705603117,337.0,99.0,False,8
4.305,395.31416666666667,-1039.481332711224,3179.526267516077,337.0,99.0,False,8
4.4,404.225253562782,-1032.0,3267.0,337.47499904,99.47499904,False,8
