distance_m,x_m,y_m
0.026354148705167668,-1377.641976736831,-728.1942672717421
9.926318212230466,-1369.0,-622.0
28.20111111111111,-1357.5496444909209,-482.0522471019923
42.467777777777776,-1347.6365891627863,-368.24679688431496
49.178996823918396,-1340.0,-284.0
64.0011111111111,-1318.6333336930884,-51.7914822363503
65.35163749391872,-1317.0,-34.0
89.27888888888887,-1301.8605294888046,135.61516592539257
96.06360586576017,-1298.0,181.0
114.63444444444443,-1282.4938751967768,362.8166024969464
115.9951661140658,-1281.0,380.0
132.80111111111108,-1258.7508198512887,631.9129730785919
141.45033673664574,-1249.0,742.0
151.0233333333333,-1241.8757713872665,823.157677057211
172.4895846978288,-1232.0,942.0
180.26777777777775,-1226.204086800547,1013.6643546125655
190.80290447178143,-1217.0,1125.0
198.6011111111111,-1210.0094942330888,1204.7389440504028
213.31222222222218,-1196.7574122399303,1349.5787525080923
220.22415746418335,-1191.0,1417.0
227.6052372417878,-1185.0,1491.0
231.75666666666663,-1181.0467261914082,1538.8633198337504
246.5122222222222,-1163.2835567601126,1746.7827969601506
257.1114652185139,-1152.0,1877.0
276.0233333333333,-1139.7816046222417,2016.3624645726863
290.37727976102053,-1131.0,2116.0
308.95818315071585,-1115.0,2301.0
309.4233333333333,-1114.601394981862,2305.7843885946195
318.26669237158575,-1107.0,2398.0
324.4052777777777,-1100.9339558577758,2469.290174944368
334.88921984117803,-1090.0,2595.0
342.9608333333333,-1082.6971601787518,2679.191818606837
353.4677769271179,-1074.0,2780.0
361.5719444444444,-1067.1953658662915,2859.3376695048114
375.849093572774,-1055.0,3002.0
383.97194444444443,-1047.9530339673152,3084.2862241468692
402.6386111111111,-1031.981405340194,3269.713499922926
403.8515226192434,-1031.0,3281.0
417.57194444444445,-1019.3514602160121,3414.425632436565
418.78733011008455,-1018.0,3430.0
432.54972222222216,-998.110376688159,3660.546975045012
439.3822879659758,-989.0,3766.0
462.50527777777774,-974.2155694632081,3933.5196440474247
478.7521931273463,-966.0,4027.0
485.0386111111111,-961.1646533168803,4083.2602666583734
497.4919393960802,-950.0,4214.0
503.7608333333333,-944.5003784545011,4278.429942695424
516.2088579527909,-934.0,4401.0
518.738611111111,-931.9463987120924,4424.782615075423
540.6131289467671,-913.0,4644.0
545.0274999999999,-907.8979990257814,4704.17367072884
559.9558333333332,-888.3967357040084,4936.1131003339515
565.1178586659962,-883.0,5000.0
574.9780555555554,-875.6371119132662,5086.140228326209
593.8113888888888,-867.153832411576,5181.592362478064
597.1078041067734,-865.0,5206.0
608.8780555555555,-855.2022824033667,5317.64909058119
617.8236115342746,-847.0,5412.0
635.2447222222222,-832.1196241416194,5585.839771030514
636.6572208653869,-831.0,5599.0
654.0780555555555,-816.6101274744125,5768.187571378132
655.4905000601477,-815.0,5787.0
676.2060049924858,-786.0,6124.0
691.7447222222222,-776.3144715406368,6235.044545802371
706.8113888888889,-770.8656273303232,6301.147490307161
708.2225905714176,-770.0,6312.0
725.1351552756553,-756.0,6487.0
740.7113888888889,-742.446179499591,6642.281482268961
745.9372649186455,-738.0,6693.0
759.5447222222222,-726.4527627377666,6828.749761695955
771.4180163901871,-716.0,6954.0
789.2562676598606,-700.0,7146.0
789.6447222222221,-699.6670141668682,7150.0529497014095
804.533611111111,-687.2592627159914,7302.749756250344
806.989110460893,-685.0,7330.0
820.4002777777777,-671.0656719839739,7493.667930564078
822.5153561204186,-669.0,7518.0
840.3857825291591,-655.0,7685.0
843.2558333333332,-652.4863440760937,7712.645720770093
870.1826861194495,-604.0,8057.0
870.3741666666665,-603.4659687118599,8058.954858516235
875.1869587680405,-589.0,8104.0
875.929722222222,-586.3975563219046,8110.7349444051
876.8300880710821,-583.0,8119.0
883.318611111111,-547.8694269261168,8185.10635620677
886.151487620536,-531.0,8211.0
892.1186111111109,-498.7906407041297,8248.993672049235
895.7329723993112,-475.0,8267.0
899.5852777777776,-441.8940966006807,8285.835087905163
900.3315409866714,-435.0,8289.0
903.8864809086351,-401.0,8301.0
905.8074999999999,-381.84046503338044,8305.82538257865
907.8633558891431,-361.0,8310.0
911.4106684158721,-325.0,8316.0
913.8074999999999,-301.320831685792,8321.16336564053
916.3639556445568,-277.0,8328.0
919.2074999999999,-250.87550312860645,8337.419741175316
920.7954965317623,-237.0,8344.0
925.8123701475731,-199.0,8373.0
927.5199999999999,-188.3704256181769,8385.967215367675
932.0917827589616,-166.0,8427.0
932.1866666666665,-165.6245095922735,8427.895072220901
936.1908867018275,-153.0,8467.0
936.6533333333332,-151.88467042906936,8471.670890656405
939.1539278774562,-147.0,8497.0
940.3755555555555,-145.33135305845175,8508.990757669519
940.6600226507719,-145.0,8512.0
947.7557373549635,-142.0,8603.0
948.2644444444444,-142.053779606386,8607.069669739682
952.4311111111111,-143.74652650103943,8629.724024474202
952.7557477850262,-144.0,8632.0
956.9311111111111,-148.72698786359797,8671.886436873372
959.7005125372172,-153.0,8700.0
963.7731952650963,-161.0,8739.0
966.0311111111112,-167.34348022564137,8765.8296406589
972.8311111111111,-189.77117045668876,8854.279151379977
973.2888189346507,-191.0,8859.0
986.1644444444445,-215.5948565287781,8950.009279489223
987.3680790119525,-218.0,8959.0
991.72,-227.4527332982699,8994.790348634742
995.1796536261868,-238.0,9035.0
999.1644444444445,-254.8914752029333,9099.41249844264
1002.1115338311903,-266.0,9142.0
1005.5644444444445,-274.2982642054259,9174.299545806696
1014.8865373747105,-286.0,9223.0
1019.6977777777778,-296.6209008335961,9267.220841862956
1030.9844071853965,-327.0,9395.0
1031.2311111111112,-327.57084126585994,9397.470457258578
1041.3422222222223,-347.10077962712444,9485.069086805059
1049.57436496615,-361.0,9554.0
1061.952444356452,-382.0,9671.0
1063.5086111111111,-384.3399684589312,9685.846177389289
1077.2576641627397,-402.0,9816.0
1086.7622775476498,-412.0,9909.0
1087.1752777777776,-412.27910834521975,9913.08929704261
1090.294547754713,-414.0,9944.0
1099.008611111111,-418.6582197929229,10028.289097614306
1106.0060656641635,-422.0,10102.0
1117.62795168708,-426.0,10248.0
1124.5641666666666,-426.73667453037035,10344.749361043272
1135.7845410456553,-426.0,10494.0
1137.5641666666666,-425.8213162837242,10513.310192823577
1164.8974999999998,-419.2416992266611,10716.500357522484
1168.5391887838928,-417.0,10750.0
1172.6623487708966,-414.0,10792.0
1175.919722222222,-411.43171456653295,10827.3267786059
1192.9197222222222,-396.0871504531392,11030.31414563343
1199.5812467023623,-390.0,11101.0
