distance_m,x_m,y_m
0.10934420599075745,-1792.8510319504583,1160.8856032851145
8.088888888888887,-1745.1878526849555,1224.3761116736298
15.761141958966054,-1699.0,1285.0
25.688888888888883,-1638.6216919713124,1362.9684307843822
31.964808958912457,-1600.0,1412.0
43.48888888888888,-1528.358057137241,1501.271553037853
48.36944789065484,-1498.0,1539.0
61.54666666666665,-1416.3311046328965,1641.487450481877
65.04528174103415,-1395.0,1669.0
79.87999999999998,-1306.7711200687936,1786.9922273939499
81.88200943909463,-1295.0,1803.0
98.47999999999998,-1197.744600588215,1936.230866765257
98.94779937425253,-1195.0,1940.0
116.17911100816922,-1094.0,2079.0
117.27999999999997,-1087.61418004241,2087.8412031895004
133.5269010879625,-993.0,2219.0
136.2133333333333,-976.6641318025306,2241.3861794237123
150.92821631339083,-886.0,2365.0
155.2133333333333,-861.3252341331951,2399.103568637819
168.43695514255438,-788.0,2501.0
171.23749999999998,-771.8837437605381,2523.0708092002255
186.12021157264985,-684.0,2643.0
190.57083333333333,-658.3665041091673,2678.951619641892
203.99057165342754,-582.0,2789.0
210.10416666666663,-546.1010046947761,2841.724522124572
221.9272686131862,-477.0,2944.0
229.70416666666665,-434.96677800275256,3005.936675244179
239.99877315950002,-381.0,3086.0
249.50416666666663,-329.18520363068984,3164.6051844131835
258.19027275789927,-281.0,3238.0
269.37083333333334,-219.04540970697548,3331.3232055269286
276.33657492229474,-180.0,3389.0
289.3041666666667,-105.82542406799071,3495.579966103264
294.6432551945577,-75.0,3539.0
309.37083333333334,10.86467943277618,3657.4377083911386
313.0578127200125,33.0,3687.0
329.50416666666666,134.69848806367418,3817.6344230906993
331.5208227971379,147.0,3833.0
349.7041666666666,262.42473649887916,3971.093916435273
350.0416277777536,265.0,3974.0
367.0200995083926,411.0,4130.0
369.9708333333333,434.44187327556733,4152.8229772926425
385.5098771933524,547.0,4249.0
390.10416666666663,582.2413977615798,4275.445168830418
403.806461429584,695.0,4350.0
413.28194444444443,777.9790534850117,4393.926943314804
421.8782179111548,857.0,4428.0
432.8819444444444,963.422616749022,4463.390444498557
439.8026659600057,1032.0,4481.0
452.41527777777776,1158.45581706959,4504.197034340175
457.7054827815471,1212.0,4511.0
471.9486111111111,1357.47911424672,4521.777414105488
475.60976413748324,1395.0,4523.0
493.51449944799805,1578.0,4521.0
494.7375,1590.375406339153,4520.449912569102
511.47930629411564,1758.0,4508.0
514.3375,1786.4162202855332,4504.953250590633
529.4377226627528,1938.0,4485.0
533.9375,1984.9220934764808,4478.208101122791
547.4861686649799,2126.0,4458.0
553.6708333333333,2185.3240371635,4450.914698341733
565.6744240254654,2296.0,4441.0
573.5375,2371.8527951058604,4436.765849888136
583.8515351713462,2476.0,4435.0
593.3375,2575.983094958909,4438.590380838187
602.0187612281179,2664.0,4445.0
613.1213888888889,2763.5161631752417,4456.046708996687
620.2578038474144,2826.0,4467.0
636.3769444444443,2974.7250503958926,4506.510092856512
638.5376753406917,2995.0,4513.0
656.3102777777777,3161.439368865111,4575.963544927519
656.8075681769477,3166.0,4578.0
675.0166033651575,3328.0,4663.0
676.1769444444444,3338.032047513139,4669.03954332592
693.2853588227848,3482.0,4766.0
696.1102777777778,3505.020587594532,4783.344595738032
711.5585471368719,3627.0,4884.0
712.8044444444444,3636.5327276492762,4892.438836956644
729.8325773894427,3763.0,5012.0
732.7377777777778,3784.1842095356988,5033.147294255457
748.0890986380394,3895.0,5147.0
752.6711111111111,3927.7760667658795,5180.6431968900615
766.4762754598225,4026.0,5280.0
772.6711111111111,4070.8033365551955,5323.9625888582395
784.3724379704845,4157.0,5406.0
791.6044444444445,4212.34709281718,5456.825055665478
800.3873766414171,4283.0,5520.0
807.9377777777779,4344.870587778209,5574.26225241765
814.4855755043632,4398.0,5620.0
822.6711111111113,4463.193278890784,5674.900977332281
827.5310007819257,4502.0,5707.0
836.0711111111112,4571.9966678429,5763.804330022082
839.3418807682772,4598.0,5784.0
847.8044444444446,4659.626636681012,5827.548439749626
849.8667124896047,4675.0,5837.0
858.7377777777779,4748.001735804612,5874.402525646219
859.7675415192869,4757.0,5878.0
867.9463010694777,4832.0,5899.0
868.5377777777778,4837.754072602114,5900.127970611613
876.4277246123098,4918.0,5909.0
877.7377777777779,4931.365440747022,5908.645673987392
884.474128608636,4999.0,5899.0
886.4044444444445,5017.905430498587,5895.08025087754
891.9879398340287,5072.0,5880.0
894.4711111111112,5096.009197389337,5870.342871783228
899.2263361689953,5140.0,5848.0
902.2711111111112,5165.35974857524,5832.456867968754
906.1585802845774,5196.0,5810.0
909.6711111111111,5223.431799276638,5786.01900257566
912.8674773715572,5247.0,5762.0
916.9377777777778,5274.094485716766,5729.0553457975875
919.4605877338216,5289.0,5708.0
924.0711111111111,5311.622136717179,5669.953466134523
926.0600522904112,5320.0,5653.0
931.5377777777778,5340.368457910196,5602.684370002591
932.955581480095,5345.0,5589.0
939.2044444444444,5362.1019567368985,5527.178262812658
940.0337781390147,5364.0,5519.0
947.4044444444445,5377.739558624328,5446.711843016166
947.578466631477,5378.0,5445.0
955.3323460429149,5387.0,5368.0
955.8711111111112,5387.4819172514835,5362.54973183726
963.4054570679604,5393.0,5287.0
964.7377777777779,5393.883180569555,5274.650239111445
971.992938729482,5399.0,5212.0
974.0986111111112,5400.947129909708,5193.782236297757
980.4033720335076,5409.0,5137.0
983.0986111111112,5414.105265793493,5110.87671999695
988.1716389338413,5427.0,5060.0
991.2986111111112,5437.238859789242,5030.151797266635
995.3480149358427,5453.0,4993.0
998.8986111111112,5468.844490948825,4961.071001695627
1002.1246034719009,5485.0,4933.0
1006.0986111111113,5507.47964380025,4899.983686002068
1008.5877360135166,5523.0,4880.0
1011.8494444444447,5544.986518579973,4854.53494267794
1014.7711601751064,5566.0,4833.0
1018.4494444444447,5593.951644583652,4808.284697937121
1020.7207022082141,5612.0,4794.0
1024.782777777778,5645.662039636527,4769.95623803262
1026.4609243220516,5660.0,4761.0
1030.9161111111114,5699.022120001371,4740.976244762081
1032.0510520943035,5709.0,4737.0
1036.9161111111114,5751.602037508413,4725.7676822893
1037.5324837556536,5757.0,4725.0
1042.7827777777782,5803.135662277037,4724.878660383739
1042.880272589344,5804.0,4725.0
1048.2556901097196,5852.0,4739.0
1048.6494444444447,5855.498577225297,4740.58054313596
1053.7302390137888,5900.0,4767.0
1054.6494444444447,5907.813461695642,4772.703234745705
1059.477304589703,5947.0,4806.0
1060.9827777777782,5958.336089601213,4817.205752311899
1065.475066290075,5990.0,4852.0
1067.5827777777781,6004.1175271472985,4868.4789435108905
1071.0711439172662,6027.0,4897.0
1074.382777777778,6048.296695540605,4926.435414160202
1077.552817268283,6067.0,4954.0
1081.782777777778,6088.809013535557,4987.884820160788
1084.4986999050311,6102.0,5010.0
1089.6494444444447,6126.021063849694,5054.198950944829
1091.9397592997711,6136.0,5074.0
1098.4494444444447,6162.394119742332,5130.642369312756
1100.1847289992966,6169.0,5146.0
1107.982777777778,6196.587183286929,5216.4508172936585
1109.0154515332522,6200.0,5226.0
1118.2494444444446,6228.35265754078,5312.89613246168
1118.4734765378482,6229.0,5315.0
1128.7297523073826,6257.0,5411.0
1129.4494444444445,6258.85284798227,5417.804352031528
1139.5288938052488,6283.0,5514.0
1141.3161111111112,6286.778249802997,5530.94675347706
1151.1000344148003,6305.0,5623.0
1154.0494444444446,6309.927694574062,5651.210134028
1162.909961600529,6323.0,5738.0
1166.982777777778,6327.73245653143,5778.36088425519
1174.9838769873356,6334.0,5858.0
1180.3827777777778,6335.323379703987,5911.360537266222
1187.7336947640797,6334.0,5983.0
1194.6494444444447,6330.139848946143,6050.340388849848
1201.0181795317458,6324.0,6113.0
1209.3161111111112,6311.917663695636,6195.135899944797
1214.627652630356,6302.0,6247.0
1224.386388888889,6279.583787303222,6340.22340763186
1228.6008530623199,6268.0,6380.0
1239.786388888889,6231.307929187768,6484.5176756573555
1242.7558175580818,6220.0,6512.0
1255.386388888889,6165.056309023501,6626.84047329165
1257.1043746410937,6157.0,6642.0
1271.4530555555557,6084.274605320614,6765.489828755773
